SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
JAM,Jamaica,Jamaica,Reputational Risk,7.0,7.092702169625246,0.30331175994857723,9,7
ITA,Italy,Italy,Reputational Risk,7.0,6.663710777626194,1.4899811871894633,10,4
IS1,Israel,Palestine,Reputational Risk,8.0,7.783783783783784,0.42459106781957795,9,7
IRL,Ireland,Ireland,Reputational Risk,4.0,4.5099750623441395,1.0297447808037568,10,3
IRQ,Iraq,Iraq,Reputational Risk,8.0,8.223477594791268,0.5631682628813967,10,6
IRN,Iran,Iran,Reputational Risk,7.0,7.679985028539347,1.0942407080148946,10,5
IDN,Indonesia,Indonesia,Reputational Risk,8.0,8.84069010168717,1.0215202272803467,10,4
IND,India,India,Reputational Risk,10.0,9.941839268814746,0.33192753282643433,10,4
ISL,Iceland,Iceland,Reputational Risk,5.0,5.136403859930049,0.9764722146507028,9,2
HUN,Hungary,Hungary,Reputational Risk,6.0,5.613121366710168,0.9098261902069568,7,3
HND,Honduras,Honduras,Reputational Risk,8.0,8.509019607843138,0.7998265863566825,10,6
HTI,Haiti,Haiti,Reputational Risk,9.0,8.772292993630574,0.41935250758723336,9,8
GUY,Guyana,Guyana,Reputational Risk,9.0,8.633642354518038,0.7317798320824348,10,6
GNB,Guinea-Bissau,Guinea-Bissau,Reputational Risk,8.0,8.17153024911032,0.7966393871394578,9,7
GIN,Guinea,Guinea,Reputational Risk,8.0,8.501462678116448,0.5123028558822011,10,8
GTM,Guatemala,Guatemala,Reputational Risk,9.0,8.856997558991049,0.8314492337537783,10,8
GRD,Grenada,Grenada,Reputational Risk,7.0,7.384615384615385,0.4865042554105199,8,7
GRC,Greece,Greece,Reputational Risk,7.0,6.690523525513585,0.7711989608739398,9,5
GHA,Ghana,Ghana,Reputational Risk,8.0,7.591822794691647,0.6077815354449219,9,7
DEU,Germany,Germany,Reputational Risk,6.0,6.152178499841756,2.038724235777151,10,3
GEO,Georgia,Georgia,Reputational Risk,7.0,6.724190187535518,0.583348680869832,9,5
GMB,Gambia,Gambia,Reputational Risk,8.0,7.988962472406181,0.9121994044936486,9,7
GAB,Gabon,Gabon,Reputational Risk,8.0,8.373992673992674,0.9091825978775253,10,7
FR1,France,France,Reputational Risk,5.0,5.819867929945449,1.7457372009406626,10,3
FI1,Finland,Aland,Reputational Risk,6.0,6.4140625,0.5932872374269903,8,6
FI1,Finland,Finland,Reputational Risk,5.0,5.272681564984983,1.8006663817009292,10,2
FJI,Fiji,Fiji,Reputational Risk,7.0,7.227594339622642,0.5674694452468035,9,4
ETH,Ethiopia,Ethiopia,Reputational Risk,8.0,8.124262059035278,0.3525471266755129,10,6
EST,Estonia,Estonia,Reputational Risk,6.0,6.096430095292277,0.8276803813900593,9,5
ERI,Eritrea,Eritrea,Reputational Risk,8.0,8.118163887394656,0.6111641402086812,10,4
GNQ,Equatorial Guinea,Equatorial Guinea,Reputational Risk,9.0,8.960036330608538,0.9387420799105097,10,7
SLV,El Salvador,El Salvador,Reputational Risk,8.0,7.920265780730897,0.3912938701484507,9,6
EGY,Egypt,Egypt,Reputational Risk,8.0,8.106236265817989,0.41634018476768386,10,7
ECU,Ecuador,Ecuador,Reputational Risk,9.0,8.678738099682658,0.9934551805367329,10,7
DOM,Dominican Republic,Dominican Republic,Reputational Risk,7.0,7.582010582010582,0.6443849287467527,9,7
DMA,Dominica,Dominica,Reputational Risk,7.0,7.25,0.5,9,7
DJI,Djibouti,Djibouti,Reputational Risk,7.0,6.868143459915612,0.6097986218138641,9,6
DN1,Denmark,Greenland,Reputational Risk,6.0,6.088565161890544,0.9024312830361139,9,5
DN1,Denmark,Denmark,Reputational Risk,7.0,6.516293817156949,1.0821255662098974,10,4
CZE,Czechia,Czechia,Reputational Risk,5.0,4.717137045512332,0.7336340419333507,8,3
CYN,Northern Cyprus,Northern Cyprus,Reputational Risk,6.0,6.291479820627803,0.5916224240528077,9,6
CYP,Cyprus,Cyprus,Reputational Risk,7.0,6.904494382022472,0.47627065111604955,9,6
HRV,Croatia,Croatia,Reputational Risk,5.0,4.962751971954426,1.0246381797889497,9,3
CIV,Ivory Coast,Ivory Coast,Reputational Risk,8.0,8.314231692240565,0.6337652676684307,10,7
CRI,Costa Rica,Costa Rica,Reputational Risk,9.0,8.288729232150876,0.909301113696173,10,7
