SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
BRB,Barbados,Barbados,Tropical Cyclones,10.0,9.8125,0.3903123748998999,10,9
BGD,Bangladesh,Bangladesh,Tropical Cyclones,8.0,6.9829512051734275,1.6147114642701346,10,3
BHR,Bahrain,Bahrain,Tropical Cyclones,3.0,3.0,0.0,3,3
BHS,The Bahamas,The Bahamas,Tropical Cyclones,10.0,9.607476635514018,0.4883121673874068,10,9
AZE,Azerbaijan,Azerbaijan,Tropical Cyclones,1.0,1.0333118764081106,0.546531981281212,10,1
AUT,Austria,Austria,Tropical Cyclones,1.0,1.0,0.0,1,1
AU1,Australia,Australia,Tropical Cyclones,6.0,5.648359164737778,2.623223250895594,10,1
ARM,Armenia,Armenia,Tropical Cyclones,1.0,1.0,0.0,1,1
ARG,Argentina,Argentina,Tropical Cyclones,1.0,1.0012473874163557,0.10594777379367257,10,1
ATG,Antigua and Barbuda,Antigua and Barbuda,Tropical Cyclones,10.0,9.6,0.48989794855663565,10,9
AGO,Angola,Angola,Tropical Cyclones,1.0,1.604051029136108,0.924612336924041,10,1
AND,Andorra,Andorra,Tropical Cyclones,1.0,1.0,0.0,1,1
DZA,Algeria,Algeria,Tropical Cyclones,1.0,1.0007853465440786,0.08406843716587575,10,1
ALB,Albania,Albania,Tropical Cyclones,1.0,1.0172001911132347,0.39307235141228075,10,1
AFG,Afghanistan,Afghanistan,Tropical Cyclones,3.0,3.0,0.0,3,3
KAS,Kashmir,Siachen Glacier,Tropical Cyclones,3.0,3.0,0.0,3,3
NL1,Netherlands,Sint Maarten,Tropical Cyclones,10.0,10.0,0.0,10,10
TUV,Tuvalu,Tuvalu,Tropical Cyclones,--,--,--,--,--
