SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
CYN,Northern Cyprus,Northern Cyprus,Air Condition,6.0,5.914798206278027,0.279181747377101,6,5
CYP,Cyprus,Cyprus,Air Condition,6.0,5.980337078651686,0.13883908265457748,6,5
HRV,Croatia,Croatia,Air Condition,6.0,5.913672217353199,0.4727423059403991,10,3
CIV,Ivory Coast,Ivory Coast,Air Condition,8.0,8.086175550869028,0.3987911677534518,10,8
CRI,Costa Rica,Costa Rica,Air Condition,3.0,2.3542882801975753,0.9346559502636892,3,1
COD,Democratic Republic of the Congo,Democratic Republic of the Congo,Air Condition,8.0,7.726814475232261,0.6882573658560048,8,1
COG,Republic of the Congo,Republic of the Congo,Air Condition,8.0,7.884903456332028,0.46377859523921294,8,5
COM,Comoros,Comoros,Air Condition,1.0,1.0,0.0,1,1
COL,Colombia,Colombia,Air Condition,6.0,6.85391904247361,1.0463953791934897,10,1
CH1,China,China,Air Condition,8.0,6.441595437025726,2.7904156492710666,10,1
CH1,China,Macao S.A.R,Air Condition,8.0,8.0,0.0,8,8
CH1,China,Hong Kong S.A.R.,Air Condition,8.0,7.979591836734694,0.14139190265868387,8,7
CHL,Chile,Chile,Air Condition,1.0,2.1700664723920537,1.93689600364739,10,1
TCD,Chad,Chad,Air Condition,8.0,8.908210797093892,0.9886400787596774,10,8
CAF,Central African Republic,Central African Republic,Air Condition,8.0,8.0,0.0,8,8
CPV,Cabo Verde,Cabo Verde,Air Condition,10.0,10.0,0.0,10,10
CAN,Canada,Canada,Air Condition,1.0,1.180680259574464,0.8724920868842965,10,1
CMR,Cameroon,Cameroon,Air Condition,8.0,8.48596145090302,0.8526798924980289,10,6
KHM,Cambodia,Cambodia,Air Condition,6.0,6.156516290726817,0.5339960426296585,8,4
MMR,Myanmar,Myanmar,Air Condition,8.0,7.354826640059866,0.9964715881400119,10,1
BDI,Burundi,Burundi,Air Condition,6.0,6.422807017543859,0.8014280114237421,8,6
BFA,Burkina Faso,Burkina Faso,Air Condition,8.0,8.636613844870725,0.9247647638177028,10,8
BGR,Bulgaria,Bulgaria,Air Condition,6.0,5.99977103606182,0.050185166090111914,10,5
BRN,Brunei,Brunei,Air Condition,6.0,5.9576271186440675,0.20143837837296125,6,5
BRA,Brazil,Brazil,Air Condition,3.0,3.927492551423063,2.2028782722810094,10,1
BWA,Botswana,Botswana,Air Condition,3.0,3.0,0.0,3,3
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Air Condition,6.0,6.0,0.0,6,6
BOL,Bolivia,Bolivia,Air Condition,6.0,5.341667167498047,1.2386541921582808,8,1
BTN,Bhutan,Bhutan,Air Condition,8.0,7.664936290703162,1.4403516635776008,10,1
BEN,Benin,Benin,Air Condition,10.0,9.996816553919619,0.05633215557241986,10,9
BLZ,Belize,Belize,Air Condition,3.0,3.1663479923518163,0.7030767192598439,6,1
BEL,Belgium,Belgium,Air Condition,6.0,4.68703007518797,1.4802737000857844,10,3
BLR,Belarus,Belarus,Air Condition,6.0,5.874887892376681,0.5921428381003833,6,3
BRB,Barbados,Barbados,Air Condition,1.0,1.0,0.0,1,1
BGD,Bangladesh,Bangladesh,Air Condition,10.0,9.557907113462669,0.8043627912182963,10,5
BHR,Bahrain,Bahrain,Air Condition,8.0,8.0,0.0,8,8
BHS,The Bahamas,The Bahamas,Air Condition,1.0,1.0,0.0,1,1
AZE,Azerbaijan,Azerbaijan,Air Condition,6.0,6.370131960090119,0.7945234670641251,10,5
AUT,Austria,Austria,Air Condition,3.0,4.244792340535645,1.4610504806962632,6,3
AU1,Australia,Australia,Air Condition,1.0,1.5299469163399535,1.0052137628576654,10,1
ARM,Armenia,Armenia,Air Condition,6.0,6.0,0.0,6,6
ARG,Argentina,Argentina,Air Condition,1.0,2.008914662068889,1.3402331646699919,10,1
ATG,Antigua and Barbuda,Antigua and Barbuda,Air Condition,1.0,1.0,0.0,1,1
AGO,Angola,Angola,Air Condition,6.0,5.697501319405267,1.5988646068139691,10,1
AND,Andorra,Andorra,Air Condition,3.0,3.0,0.0,3,3
DZA,Algeria,Algeria,Air Condition,8.0,7.862358102158513,1.0664422189051574,10,1
ALB,Albania,Albania,Air Condition,6.0,5.998566650740564,0.19913297488772616,10,5
AFG,Afghanistan,Afghanistan,Air Condition,8.0,8.566745210531709,1.045368037640003,10,3
KAS,Kashmir,Siachen Glacier,Air Condition,3.0,3.0,0.0,3,3
NL1,Netherlands,Sint Maarten,Air Condition,1.0,1.0,0.0,1,1
TUV,Tuvalu,Tuvalu,Air Condition,--,--,--,--,--
