SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
FI1,Finland,Aland,Regulating Services - Mitigating,3.0,2.953125,0.30257682392245444,3,1
FI1,Finland,Finland,Regulating Services - Mitigating,3.0,2.8764206988713794,0.5144644242663473,10,1
FJI,Fiji,Fiji,Regulating Services - Mitigating,8.0,8.036556603773585,0.6293403491735609,10,5
ETH,Ethiopia,Ethiopia,Regulating Services - Mitigating,8.0,7.945695772909596,0.3329310595515191,10,6
EST,Estonia,Estonia,Regulating Services - Mitigating,3.0,3.0085336367515287,0.5016666833804063,10,1
ERI,Eritrea,Eritrea,Regulating Services - Mitigating,8.0,8.231845077998925,0.6490257404119667,10,5
GNQ,Equatorial Guinea,Equatorial Guinea,Regulating Services - Mitigating,3.0,3.198910081743869,0.7329278204001562,6,1
SLV,El Salvador,El Salvador,Regulating Services - Mitigating,8.0,8.096345514950166,0.4001909015655293,10,8
EGY,Egypt,Egypt,Regulating Services - Mitigating,8.0,7.167424414639691,1.0365224087962468,10,3
ECU,Ecuador,Ecuador,Regulating Services - Mitigating,3.0,4.549374649990666,1.7682191375087764,10,1
DOM,Dominican Republic,Dominican Republic,Regulating Services - Mitigating,8.0,7.996031746031746,0.1743775598628558,10,5
DMA,Dominica,Dominica,Regulating Services - Mitigating,8.0,7.96875,0.17399263633843817,8,7
DJI,Djibouti,Djibouti,Regulating Services - Mitigating,8.0,7.65295358649789,0.726837646307972,8,5
DN1,Denmark,Greenland,Regulating Services - Mitigating,6.0,4.226189703480133,2.474870523652346,10,1
DN1,Denmark,Denmark,Regulating Services - Mitigating,3.0,3.0195525805883388,0.7555594739305689,10,1
CZE,Czechia,Czechia,Regulating Services - Mitigating,6.0,5.942028985507246,0.41020004319537917,8,3
CYN,Northern Cyprus,Northern Cyprus,Regulating Services - Mitigating,6.0,6.0807174887892375,0.5781797833645272,8,5
CYP,Cyprus,Cyprus,Regulating Services - Mitigating,8.0,7.657303370786517,0.7153827671056829,8,6
HRV,Croatia,Croatia,Regulating Services - Mitigating,6.0,5.357800175284837,1.6872408954039566,10,1
CIV,Ivory Coast,Ivory Coast,Regulating Services - Mitigating,8.0,7.438295396698422,0.9331285759659891,10,5
CRI,Costa Rica,Costa Rica,Regulating Services - Mitigating,6.0,6.310731926358329,1.1198846697468086,8,3
COD,Democratic Republic of the Congo,Democratic Republic of the Congo,Regulating Services - Mitigating,6.0,5.906040813014727,0.7719863603741721,10,3
COG,Republic of the Congo,Republic of the Congo,Regulating Services - Mitigating,6.0,5.78726035868893,0.7743108852219479,8,3
COM,Comoros,Comoros,Regulating Services - Mitigating,8.0,7.876923076923077,0.3724221057510832,8,6
COL,Colombia,Colombia,Regulating Services - Mitigating,6.0,5.9990649156346105,0.6083971373564202,10,3
CH1,China,China,Regulating Services - Mitigating,8.0,8.678978206857614,1.0599759897150103,10,3
CH1,China,Macao S.A.R,Regulating Services - Mitigating,10.0,10.0,0.0,10,10
CH1,China,Hong Kong S.A.R.,Regulating Services - Mitigating,10.0,9.673469387755102,0.46894388951330845,10,9
CHL,Chile,Chile,Regulating Services - Mitigating,6.0,6.104965430546826,1.7039552035373153,10,1
TCD,Chad,Chad,Regulating Services - Mitigating,6.0,7.4666458094344215,1.9542135035069705,10,3
CAF,Central African Republic,Central African Republic,Regulating Services - Mitigating,8.0,7.045475216007276,1.1415544210262567,10,3
CPV,Cabo Verde,Cabo Verde,Regulating Services - Mitigating,10.0,10.0,0.0,10,10
CAN,Canada,Canada,Regulating Services - Mitigating,5.0,4.662989863133977,2.006122579449974,10,1
CMR,Cameroon,Cameroon,Regulating Services - Mitigating,6.0,6.427733090504376,1.7021395765172578,10,3
KHM,Cambodia,Cambodia,Regulating Services - Mitigating,8.0,7.952130325814537,0.30114938225692645,8,5
MMR,Myanmar,Myanmar,Regulating Services - Mitigating,8.0,7.997786230980294,0.4547647891160803,10,5
BDI,Burundi,Burundi,Regulating Services - Mitigating,6.0,6.5508771929824565,0.8705962479954181,8,6
BFA,Burkina Faso,Burkina Faso,Regulating Services - Mitigating,10.0,9.837948290241869,0.5333055468805918,10,8
BGR,Bulgaria,Bulgaria,Regulating Services - Mitigating,6.0,6.5932455638236975,0.9037099321534974,10,3
BRN,Brunei,Brunei,Regulating Services - Mitigating,8.0,7.961864406779661,0.2958525433001894,8,5
BRA,Brazil,Brazil,Regulating Services - Mitigating,8.0,7.050846827516982,1.2326886627078124,10,1
BWA,Botswana,Botswana,Regulating Services - Mitigating,6.0,6.0612596762843065,0.331882381236159,10,6
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Regulating Services - Mitigating,6.0,6.538607745307674,0.8776380646012572,8,5
BOL,Bolivia,Bolivia,Regulating Services - Mitigating,6.0,6.528377105995953,1.7601829910256155,10,1
BTN,Bhutan,Bhutan,Regulating Services - Mitigating,6.0,6.082114204813592,1.373536739681042,10,3
BEN,Benin,Benin,Regulating Services - Mitigating,8.0,8.713489852765619,1.3843121802872147,10,3
BLZ,Belize,Belize,Regulating Services - Mitigating,8.0,7.98565965583174,0.17703985906938563,8,5
BEL,Belgium,Belgium,Regulating Services - Mitigating,6.0,5.8161027568922306,0.6934739467018962,10,3
BLR,Belarus,Belarus,Regulating Services - Mitigating,6.0,5.631797798613942,0.9756179163352435,6,3
BRB,Barbados,Barbados,Regulating Services - Mitigating,3.0,3.0,0.0,3,3
BGD,Bangladesh,Bangladesh,Regulating Services - Mitigating,8.0,8.383009994121105,0.7969920630210675,10,5
BHR,Bahrain,Bahrain,Regulating Services - Mitigating,3.0,3.0,0.0,3,3
BHS,The Bahamas,The Bahamas,Regulating Services - Mitigating,6.0,5.6713395638629285,0.7628980733795079,6,1
AZE,Azerbaijan,Azerbaijan,Regulating Services - Mitigating,8.0,7.120051496620534,1.4203700828005195,10,3
AUT,Austria,Austria,Regulating Services - Mitigating,3.0,3.9052917583128477,1.557650228908004,8,3
AU1,Australia,Australia,Regulating Services - Mitigating,10.0,9.636572708753599,0.9617687709556096,10,1
ARM,Armenia,Armenia,Regulating Services - Mitigating,8.0,7.996710526315789,0.5088396120502533,10,3
ARG,Argentina,Argentina,Regulating Services - Mitigating,6.0,6.816573066410906,1.296558212365863,10,1
ATG,Antigua and Barbuda,Antigua and Barbuda,Regulating Services - Mitigating,8.0,7.95,0.21794494717703367,8,7
AGO,Angola,Angola,Regulating Services - Mitigating,6.0,6.05190267338805,0.3623827951288716,10,5
AND,Andorra,Andorra,Regulating Services - Mitigating,8.0,8.0,0.0,8,8
DZA,Algeria,Algeria,Regulating Services - Mitigating,6.0,5.935070086229464,0.8026915740468324,10,1
ALB,Albania,Albania,Regulating Services - Mitigating,8.0,7.926899187768753,0.4747899556860515,10,3
AFG,Afghanistan,Afghanistan,Regulating Services - Mitigating,8.0,7.477435713553939,1.2543860236274655,10,3
KAS,Kashmir,Siachen Glacier,Regulating Services - Mitigating,8.0,8.030303030303031,0.17141982574219333,9,8
NL1,Netherlands,Sint Maarten,Regulating Services - Mitigating,8.0,8.0,0.0,8,8
TUV,Tuvalu,Tuvalu,Regulating Services - Mitigating,--,--,--,--,--
