SOV_A3,SOVEREIGNTY,ADMIN,RISK_TYPE,RISK_MEDIAN,RISK_MEAN,RISK_STD,RISK_MAX,RISK_MIN
PAN,Panama,Panama,Invasives,3.0,3.0768746061751733,0.4352325918139424,6,1
PLW,Palau,Palau,Invasives,6.0,5.1875,1.2854352375751958,6,1
PAK,Pakistan,Pakistan,Invasives,3.0,3.045786872523792,0.53797021839848,6,1
OMN,Oman,Oman,Invasives,1.0,1.05382967327263,0.32159394618338205,3,1
NOR,Norway,Norway,Invasives,3.0,3.27679054100883,0.9960097265198468,8,3
PRK,North Korea,North Korea,Invasives,3.0,3.1171386330035253,0.591588486289066,6,1
NGA,Nigeria,Nigeria,Invasives,3.0,2.9752854127997153,0.21933175953091838,3,1
NER,Niger,Niger,Invasives,1.0,1.0424228011122494,0.28636196391699265,3,1
NIC,Nicaragua,Nicaragua,Invasives,3.0,3.043050430504305,0.3070233474605194,6,3
NZ1,New Zealand,New Zealand,Invasives,10.0,9.800405218422613,0.9554422893274462,10,3
NL1,Netherlands,Netherlands,Invasives,3.0,3.4790607601065116,1.2445902065806398,8,3
NL1,Netherlands,Aruba,Invasives,3.5,3.5,0.5,4,3
NL1,Netherlands,Curaçao,Invasives,3.5,3.9,0.9433981132056604,5,3
NPL,Nepal,Nepal,Invasives,3.0,3.381413480885312,0.9637658855511901,6,3
NRU,Nauru,Nauru,Invasives,4.0,4.0,0.0,4,4
NAM,Namibia,Namibia,Invasives,3.0,3.019422039685289,0.5650726355515128,8,1
MOZ,Mozambique,Mozambique,Invasives,3.0,3.0462498973137273,0.4722040239126191,8,1
MAR,Morocco,Morocco,Invasives,3.0,2.483820459290188,0.893068147807987,10,1
SAH,Western Sahara,Western Sahara,Invasives,1.0,1.0165469192249075,0.1799571967752849,3,1
MNE,Montenegro,Montenegro,Invasives,1.0,1.1486359360301035,0.6045574188822224,6,1
MNG,Mongolia,Mongolia,Invasives,1.0,1.1702469541370888,0.8887147529623507,6,1
MDA,Moldova,Moldova,Invasives,1.0,1.5277500830840811,0.8784433019740908,3,1
MCO,Monaco,Monaco,Invasives,8.0,8.0,0.0,8,8
MEX,Mexico,Mexico,Invasives,8.0,7.976333689925923,0.4401198623522331,10,1
MUS,Mauritius,Mauritius,Invasives,1.0,1.0,0.0,1,1
MRT,Mauritania,Mauritania,Invasives,1.0,1.015766629655799,0.17544223850014248,3,1
MLT,Malta,Malta,Invasives,3.0,3.3333333333333335,0.5962847939999438,5,3
MLI,Mali,Mali,Invasives,1.0,1.067143103151369,0.3585461583922313,3,1
MDV,Maldives,Maldives,Invasives,1.0,1.0,0.0,1,1
MYS,Malaysia,Malaysia,Invasives,6.0,5.9831073733053,0.4011026650730075,8,1
MWI,Malawi,Malawi,Invasives,3.0,3.0841827104567763,0.48192205759764356,6,3
MDG,Madagascar,Madagascar,Invasives,6.0,5.966477859712871,0.3389741624535408,6,1
MKD,North Macedonia,North Macedonia,Invasives,1.0,1.009478672985782,0.12946477882178756,3,1
LUX,Luxembourg,Luxembourg,Invasives,1.0,2.371647509578544,2.626821711663979,8,1
LTU,Lithuania,Lithuania,Invasives,3.0,2.960751465837023,0.40505459028061913,8,1
LIE,Liechtenstein,Liechtenstein,Invasives,6.0,5.545454545454546,0.8907235428302466,6,3
LBY,Libya,Libya,Invasives,1.0,1.0460065308588893,0.33398489401729164,10,1
LBR,Liberia,Liberia,Invasives,1.0,1.1005173688100518,0.43469537309178985,3,1
LSO,Lesotho,Lesotho,Invasives,1.0,1.9356971153846154,2.3035976763347277,8,1
LBN,Lebanon,Lebanon,Invasives,3.0,3.4663382594417076,1.0900052984298658,9,3
LVA,Latvia,Latvia,Invasives,3.0,3.0911918249472397,0.540910113755288,8,1
LAO,Laos,Laos,Invasives,3.0,3.094095595126523,0.6480833267097903,6,1
KGZ,Kyrgyzstan,Kyrgyzstan,Invasives,1.0,1.0617292270368623,0.5302021903908083,6,1
KWT,Kuwait,Kuwait,Invasives,1.0,1.5981308411214954,0.906579524121064,3,1
KIR,Kiribati,Kiribati,Invasives,1.0,1.4146341463414633,1.0115337245525717,4,1
KEN,Kenya,Kenya,Invasives,6.0,5.811737315350032,0.8838959202258451,6,1
JOR,Jordan,Jordan,Invasives,3.0,3.054791830322074,0.376997971363825,6,2
JPN,Japan,Japan,Invasives,8.0,7.847189836777358,0.7863863531404353,8,1
JAM,Jamaica,Jamaica,Invasives,3.0,3.138067061143984,0.47488253654002954,6,3
ITA,Italy,Italy,Invasives,8.0,7.979450886766712,0.43723049228751226,10,3
IS1,Israel,Palestine,Invasives,3.0,3.635135135135135,1.9889853743998052,7,1
IRL,Ireland,Ireland,Invasives,3.0,3.1913965087281797,0.854006719058631,8,3
IRQ,Iraq,Iraq,Invasives,3.0,2.9978552278820376,0.06487175952811823,3,1
IRN,Iran,Iran,Invasives,3.0,2.9810361498393685,0.22998483902738973,10,1
IDN,Indonesia,Indonesia,Invasives,8.0,7.872719655710858,0.7082583426135162,8,1
IND,India,India,Invasives,6.0,5.936961312983112,0.42560631673732846,6,1
ISL,Iceland,Iceland,Invasives,1.0,1.1510682229994522,0.8692592622077286,8,1
HUN,Hungary,Hungary,Invasives,3.0,2.9718827856210703,0.2347081952283871,3,1
HND,Honduras,Honduras,Invasives,3.0,3.0488235294117647,0.3363130372944378,6,2
HTI,Haiti,Haiti,Invasives,3.0,3.1711783439490446,0.5516309460839849,6,3
GUY,Guyana,Guyana,Invasives,3.0,3.1102423768569194,0.5382904352254682,6,3
GNB,Guinea-Bissau,Guinea-Bissau,Invasives,1.0,1.300355871886121,0.7074840501271971,3,1
GIN,Guinea,Guinea,Invasives,3.0,2.962914032273285,0.26893258411865256,3,1
GTM,Guatemala,Guatemala,Invasives,3.0,3.315907241659886,1.2736290714873115,8,1
GRD,Grenada,Grenada,Invasives,3.0,3.4615384615384617,0.6343239424027171,5,3
GRC,Greece,Greece,Invasives,3.0,3.069030262867241,0.7993989407132812,10,1
GHA,Ghana,Ghana,Invasives,3.0,2.9684816549570647,0.24692084529234076,3,1
DEU,Germany,Germany,Invasives,6.0,5.93419664521574,0.6065372634836471,8,1
GEO,Georgia,Georgia,Invasives,1.0,1.188672096988066,0.88686427504804,10,1
GMB,Gambia,Gambia,Invasives,3.0,2.3245033112582782,0.9412053861444685,3,1
GAB,Gabon,Gabon,Invasives,3.0,2.954945054945055,0.2946148176075581,3,1
FR1,France,France,Invasives,8.0,7.498401760934061,1.744494184223909,10,1
FI1,Finland,Aland,Invasives,3.0,3.546875,0.8183383984483437,6,3
FI1,Finland,Finland,Invasives,3.0,3.1417192606411835,0.6236436346556511,8,3
FJI,Fiji,Fiji,Invasives,8.0,7.331367924528302,1.7449001205425136,8,1
ETH,Ethiopia,Ethiopia,Invasives,3.0,2.9810963694333026,0.37266541803944425,6,1
EST,Estonia,Estonia,Invasives,3.0,3.257573602616982,0.8333243999990126,8,3
ERI,Eritrea,Eritrea,Invasives,1.0,1.1603012372243142,0.5407362366166748,3,1
GNQ,Equatorial Guinea,Equatorial Guinea,Invasives,1.0,1.396911898274296,0.7948228830938849,3,1
SLV,El Salvador,El Salvador,Invasives,3.0,3.0,0.0,3,3
EGY,Egypt,Egypt,Invasives,3.0,2.99090702432371,0.23127926730720888,10,1
ECU,Ecuador,Ecuador,Invasives,6.0,5.895650550681352,0.5520624452060844,6,1
DOM,Dominican Republic,Dominican Republic,Invasives,6.0,5.633597883597884,0.9540870594248781,6,3
DMA,Dominica,Dominica,Invasives,3.0,3.3125,0.6343057228182637,5,3
DJI,Djibouti,Djibouti,Invasives,1.0,1.1856540084388185,0.5767332110651647,3,1
DN1,Denmark,Greenland,Invasives,1.0,1.1269391166066272,0.8707653216928976,8,1
DN1,Denmark,Denmark,Invasives,3.0,3.2374493570547824,0.8066482459898652,8,3
CZE,Czechia,Czechia,Invasives,3.0,3.079201627256547,0.45711837250983206,6,3
CYN,Northern Cyprus,Northern Cyprus,Invasives,3.0,3.3497757847533634,0.8698164560505351,8,3
CYP,Cyprus,Cyprus,Invasives,3.0,3.1235955056179776,0.509906903137662,7,3
HRV,Croatia,Croatia,Invasives,3.0,2.8843120070113937,0.7234819308242525,10,1
CIV,Ivory Coast,Ivory Coast,Invasives,3.0,2.955639589848011,0.29305342603159684,3,1
CRI,Costa Rica,Costa Rica,Invasives,6.0,5.670857656039515,0.9049429353030505,6,1
COD,Democratic Republic of the Congo,Democratic Republic of the Congo,Invasives,1.0,1.030548906649357,0.2829199183545655,6,1
COG,Republic of the Congo,Republic of the Congo,Invasives,3.0,2.9536865251150966,0.2980484311443443,3,1
COM,Comoros,Comoros,Invasives,1.0,1.0,0.0,1,1
COL,Colombia,Colombia,Invasives,3.0,3.067762447011886,0.4364726895240077,6,1
CH1,China,China,Invasives,6.0,5.948150061031064,0.4823738996532982,6,1
CH1,China,Macao S.A.R,Invasives,6.0,6.0,0.0,6,6
CH1,China,Hong Kong S.A.R.,Invasives,6.0,5.673469387755102,0.6511451483079108,6,4
CHL,Chile,Chile,Invasives,6.0,5.845685008475706,0.6809286228911327,6,1
TCD,Chad,Chad,Invasives,1.0,1.0500573573886745,0.3114771594114009,3,1
CAF,Central African Republic,Central African Republic,Invasives,1.0,1.020236471123238,0.19806492670204712,3,1
